GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1838679029	2023-10-19 08:06:57.56471	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				8					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T11G1	L27292986	P	22.9002430	69.1531400	2023-09-23	16:49:00	obsr1469238	S151055691	Traveling	P22	EBIRD	41	1.016		3	1	G10908072	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1821031630	2023-10-20 12:44:23.567544	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Epicenter Homestay, Lodai, Gujarat	L8402271	H	23.3878323	69.9032915	2023-09-07	08:00:00	obsr682665	S149192970	Traveling	P22	EBIRD	180	15.000		1	1	G10817818	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1832553528	2023-10-19 02:44:36.093898	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Fot Mahadev Scrub Forest	L3547732	H	23.2443165	69.2014706	2023-09-22	06:32:00	obsr1046871	S150448571	Traveling	P22	EBIRD	69	0.257		4	1	G10873828	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1835863878	2023-09-26 03:00:28.795527	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Lakhpat, Kachchh IN-GJ 23.47769, 68.68229	L27228522	P	23.4776930	68.6822850	2023-09-24	16:50:00	obsr604472	S150781516	Traveling	P22	EBIRD	31	1.420		4	1	G10894794	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834358031	2023-09-26 03:00:28.795527	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Lakhpat, Kachchh IN-GJ 23.47769, 68.68229	L27228522	P	23.4776930	68.6822850	2023-09-24	16:50:00	obsr753720	S150627419	Traveling	P22	EBIRD	31	1.420		4	1	G10894794	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1837871940	2023-10-19 01:49:24.826485	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Fot Mahadev Scrub Forest	L3547732	H	23.2443165	69.2014706	2023-09-29	06:48:00	obsr1131097	S150976675	Traveling	P22	EBIRD	287	38.139		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1837881064	2023-10-18 23:40:14.448483	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				5					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T11G4	L27292680	P	22.9853220	69.1317940	2023-09-23	07:04:00	obsr1240749	S150977146	Traveling	P22	EBIRD	71	1.026		3	1	G10908069	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890181390	2023-12-04 12:59:31.842304	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T20G3	L27209322	P	22.9881940	69.9502183	2023-09-23	11:51:00	obsr4399854	S155739441	Traveling	P22	EBIRD	25	0.600		2	1	G10879337	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1835873214	2023-12-11 08:49:37.399266	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					T19_G6	L27225899	P	23.1166461	69.8568135	2023-09-24	07:45:00	obsr3568757	S150782342	Traveling	P22	EBIRD_IND	12	1.000		4	1	G10894889	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890179738	2023-12-11 08:49:37.115655	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				5	C 	C3	C 		India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T9G7	L27225674	P	23.2311508	68.9791786	2023-09-24	07:05:00	obsr4399854	S155739374	Traveling	P22	EBIRD_IND	60	1.000		3	1	G10883773	0	1	0				
